Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10
17.0,-1.0,79.0,103.0,120.0,135.0,115.0,78.0,1.0,0.0
4.0,-1.0,44.0,38.0,39.0,61.0,79.0,42.0,6.0,0.0
2.0,14.0,80.0,80.0,90.0,110.0,130.0,110.0,3.0,1.0
1.0,-1.0,70.0,90.0,70.0,60.0,60.0,70.0,3.0,0.0
2.0,11.0,125.0,130.0,90.0,130.0,90.0,95.0,5.0,1.0
17.0,-1.0,30.0,105.0,90.0,25.0,25.0,50.0,1.0,0.0
12.0,9.0,80.0,100.0,70.0,60.0,70.0,95.0,5.0,0.0
6.0,-1.0,75.0,98.0,63.0,98.0,63.0,101.0,5.0,0.0
6.0,5.0,90.0,93.0,55.0,70.0,55.0,55.0,5.0,0.0
8.0,6.0,50.0,30.0,55.0,65.0,55.0,20.0,5.0,0.0
12.0,4.0,140.0,70.0,45.0,85.0,50.0,45.0,1.0,0.0
10.0,14.0,60.0,70.0,105.0,70.0,120.0,75.0,3.0,0.0
17.0,-1.0,45.0,67.0,60.0,35.0,50.0,63.0,1.0,0.0
0.0,7.0,86.0,76.0,86.0,116.0,56.0,95.0,4.0,0.0
15.0,-1.0,50.0,80.0,95.0,10.0,45.0,10.0,4.0,0.0
2.0,7.0,95.0,135.0,80.0,110.0,80.0,100.0,3.0,0.0
17.0,10.0,110.0,78.0,73.0,76.0,71.0,60.0,3.0,0.0
16.0,15.0,70.0,110.0,180.0,60.0,60.0,50.0,3.0,0.0
13.0,1.0,63.0,63.0,47.0,41.0,41.0,74.0,4.0,0.0
15.0,-1.0,30.0,45.0,135.0,45.0,90.0,30.0,3.0,0.0
17.0,13.0,80.0,70.0,65.0,80.0,120.0,100.0,1.0,0.0
13.0,-1.0,73.0,100.0,60.0,100.0,60.0,65.0,3.0,0.0
9.0,10.0,95.0,109.0,105.0,75.0,85.0,56.0,4.0,0.0
3.0,-1.0,75.0,123.0,67.0,95.0,85.0,95.0,4.0,0.0
17.0,-1.0,71.0,73.0,88.0,120.0,89.0,59.0,6.0,0.0
16.0,5.0,91.0,90.0,129.0,90.0,72.0,108.0,5.0,1.0
8.0,6.0,60.0,55.0,90.0,145.0,90.0,80.0,5.0,0.0
2.0,14.0,80.0,130.0,100.0,160.0,120.0,110.0,3.0,1.0
17.0,4.0,100.0,50.0,80.0,60.0,80.0,50.0,2.0,0.0
3.0,7.0,79.0,105.0,70.0,145.0,80.0,101.0,5.0,1.0
0.0,7.0,70.0,110.0,80.0,55.0,80.0,105.0,1.0,0.0
3.0,7.0,55.0,75.0,60.0,75.0,60.0,103.0,5.0,0.0
2.0,7.0,91.0,134.0,95.0,100.0,100.0,80.0,1.0,0.0
3.0,7.0,79.0,115.0,70.0,125.0,80.0,111.0,5.0,1.0
9.0,-1.0,100.0,100.0,100.0,100.0,100.0,100.0,4.0,1.0
15.0,-1.0,80.0,100.0,200.0,50.0,100.0,50.0,3.0,1.0
11.0,-1.0,70.0,50.0,30.0,95.0,135.0,105.0,5.0,0.0
10.0,8.0,59.0,74.0,50.0,35.0,50.0,35.0,5.0,0.0
0.0,7.0,70.0,94.0,50.0,94.0,50.0,66.0,4.0,0.0
12.0,-1.0,55.0,70.0,55.0,40.0,55.0,85.0,2.0,0.0
6.0,-1.0,70.0,85.0,140.0,85.0,70.0,20.0,3.0,0.0
4.0,-1.0,82.0,80.0,86.0,85.0,75.0,72.0,6.0,0.0
12.0,-1.0,65.0,60.0,70.0,85.0,75.0,40.0,1.0,0.0
12.0,-1.0,95.0,80.0,105.0,40.0,70.0,100.0,2.0,0.0
17.0,-1.0,100.0,75.0,115.0,90.0,115.0,85.0,2.0,1.0
8.0,9.0,49.0,66.0,70.0,44.0,55.0,51.0,6.0,0.0
14.0,4.0,68.0,85.0,65.0,165.0,135.0,100.0,3.0,0.0
3.0,-1.0,60.0,50.0,40.0,85.0,75.0,95.0,3.0,0.0
6.0,7.0,78.0,81.0,71.0,74.0,69.0,126.0,6.0,0.0
1.0,8.0,50.0,75.0,75.0,65.0,65.0,50.0,3.0,0.0
14.0,-1.0,55.0,50.0,45.0,135.0,95.0,120.0,1.0,0.0
4.0,7.0,55.0,40.0,85.0,80.0,105.0,40.0,2.0,0.0
9.0,13.0,60.0,62.0,63.0,80.0,80.0,60.0,1.0,0.0
17.0,1.0,72.0,95.0,67.0,103.0,71.0,122.0,6.0,0.0
3.0,9.0,50.0,65.0,107.0,105.0,107.0,86.0,4.0,0.0
16.0,15.0,60.0,90.0,140.0,50.0,50.0,40.0,3.0,0.0
8.0,9.0,54.0,66.0,70.0,44.0,55.0,46.0,6.0,0.0
17.0,7.0,75.0,87.0,63.0,87.0,63.0,98.0,5.0,0.0
2.0,-1.0,61.0,84.0,65.0,70.0,70.0,70.0,1.0,0.0
0.0,17.0,40.0,30.0,32.0,50.0,52.0,65.0,3.0,0.0
11.0,14.0,65.0,50.0,35.0,115.0,95.0,95.0,1.0,0.0
0.0,7.0,65.0,65.0,45.0,75.0,45.0,95.0,2.0,0.0
9.0,13.0,80.0,105.0,65.0,100.0,70.0,70.0,1.0,0.0
12.0,-1.0,64.0,51.0,23.0,51.0,23.0,28.0,3.0,0.0
8.0,-1.0,44.0,75.0,35.0,63.0,33.0,45.0,3.0,0.0
14.0,5.0,68.0,165.0,95.0,65.0,115.0,110.0,4.0,0.0
11.0,17.0,90.0,60.0,70.0,75.0,70.0,45.0,3.0,0.0
3.0,-1.0,35.0,55.0,40.0,45.0,40.0,60.0,5.0,0.0
4.0,-1.0,35.0,20.0,65.0,40.0,65.0,20.0,2.0,0.0
15.0,16.0,60.0,55.0,145.0,75.0,150.0,40.0,4.0,0.0
8.0,9.0,44.0,66.0,70.0,44.0,55.0,56.0,6.0,0.0
12.0,-1.0,105.0,125.0,100.0,60.0,100.0,100.0,1.0,0.0
9.0,-1.0,45.0,35.0,50.0,70.0,50.0,30.0,5.0,0.0
12.0,9.0,60.0,60.0,50.0,40.0,50.0,75.0,5.0,0.0
13.0,5.0,83.0,106.0,65.0,86.0,65.0,85.0,4.0,0.0
15.0,-1.0,85.0,135.0,130.0,60.0,80.0,25.0,5.0,0.0
17.0,5.0,90.0,95.0,95.0,70.0,90.0,70.0,1.0,0.0
1.0,2.0,92.0,105.0,90.0,125.0,90.0,98.0,5.0,0.0
3.0,-1.0,60.0,40.0,50.0,75.0,85.0,95.0,3.0,0.0
13.0,-1.0,105.0,105.0,75.0,65.0,100.0,50.0,1.0,0.0
16.0,14.0,57.0,24.0,86.0,24.0,86.0,23.0,4.0,0.0
14.0,-1.0,65.0,40.0,50.0,125.0,60.0,30.0,5.0,0.0
0.0,7.0,70.0,80.0,102.0,80.0,102.0,40.0,4.0,0.0
6.0,-1.0,59.0,59.0,58.0,90.0,70.0,73.0,6.0,0.0
12.0,-1.0,100.0,70.0,70.0,65.0,65.0,45.0,2.0,0.0
17.0,-1.0,65.0,45.0,55.0,45.0,70.0,45.0,1.0,0.0
2.0,3.0,100.0,150.0,120.0,120.0,100.0,90.0,5.0,1.0
17.0,4.0,70.0,20.0,50.0,20.0,50.0,40.0,2.0,0.0
2.0,-1.0,68.0,75.0,53.0,83.0,113.0,60.0,6.0,0.0
2.0,7.0,95.0,145.0,130.0,120.0,90.0,120.0,3.0,0.0
4.0,-1.0,101.0,72.0,72.0,99.0,89.0,29.0,6.0,0.0
17.0,7.0,62.0,44.0,50.0,44.0,50.0,55.0,5.0,0.0
15.0,7.0,55.0,112.0,45.0,74.0,45.0,70.0,5.0,0.0
5.0,7.0,78.0,92.0,75.0,74.0,63.0,118.0,6.0,0.0
